algorithm,dataType,n,timeMs,comparisons
merge_lcp,random,1800,2.59696,41127
quick3way,random,1800,0.723208,19912
msd_radix,random,1800,3.09733,0
msd_radix_qs,random,1800,0.515667,8278
std_sort,reverse,1800,0.339375,7471
stable_sort,reverse,1800,1.16096,16149
merge_lcp,reverse,1800,1.831,25204
quick3way,reverse,1800,2.65067,83198
msd_radix,reverse,1800,2.93,0
msd_radix_qs,reverse,1800,0.881792,20858
std_sort,almost,1800,0.512,11338
stable_sort,almost,1800,1.16258,16309
merge_lcp,almost,1800,1.99175,28905
quick3way,almost,1800,2.19883,63628
msd_radix,almost,1800,3.30567,0
msd_radix_qs,almost,1800,0.5725,10444
std_sort,random,1900,2.03858,34334
stable_sort,random,1900,1.84746,25679
merge_lcp,random,1900,2.776,43919
quick3way,random,1900,0.844583,21389
msd_radix,random,1900,4.79742,0
msd_radix_qs,random,1900,1.93829,8762
std_sort,reverse,1900,0.355417,7914
stable_sort,reverse,1900,1.23887,17323
merge_lcp,reverse,1900,1.93879,26529
quick3way,reverse,1900,2.83471,89146
msd_radix,reverse,1900,3.512,0
msd_radix_qs,reverse,1900,1.03842,23255
std_sort,almost,1900,0.70525,14272
stable_sort,almost,1900,1.29104,16997
merge_lcp,almost,1900,2.19883,30136
quick3way,almost,1900,2.25992,68818
msd_radix,almost,1900,3.28629,0
msd_radix_qs,almost,1900,0.622333,11530
std_sort,random,2000,2.01996,36300
stable_sort,random,2000,1.96063,27430
merge_lcp,random,2000,2.93267,46771
quick3way,random,2000,0.904,24627
msd_radix,random,2000,3.544,0
msd_radix_qs,random,2000,0.590416,9590
std_sort,reverse,2000,0.382958,8358
stable_sort,reverse,2000,1.31121,18406
merge_lcp,reverse,2000,2.03679,27728
quick3way,reverse,2000,2.88063,90686
msd_radix,reverse,2000,5.22096,0
msd_radix_qs,reverse,2000,1.03308,24902
std_sort,almost,2000,0.659542,14190
stable_sort,almost,2000,1.43267,19243
merge_lcp,almost,2000,2.46263,34435
quick3way,almost,2000,4.04642,71232
msd_radix,almost,2000,6.77708,0
msd_radix_qs,almost,2000,0.663334,12304
std_sort,random,2100,2.26512,38353
stable_sort,random,2100,2.10204,28913
merge_lcp,random,2100,3.10079,49287
quick3way,random,2100,0.96625,26982
msd_radix,random,2100,3.89021,0
msd_radix_qs,random,2100,0.620458,10085
std_sort,reverse,2100,0.402,8776
stable_sort,reverse,2100,1.41492,19868
merge_lcp,reverse,2100,2.32275,29548
quick3way,reverse,2100,3.23692,97471
msd_radix,reverse,2100,3.802,0
msd_radix_qs,reverse,2100,1.21083,27436
std_sort,almost,2100,0.732,15941
stable_sort,almost,2100,1.40504,20258
merge_lcp,almost,2100,2.59804,36478
quick3way,almost,2100,2.72179,77282
msd_radix,almost,2100,4.11075,0
msd_radix_qs,almost,2100,0.752417,13233
std_sort,random,2200,2.24658,40658
stable_sort,random,2200,2.19229,30795
merge_lcp,random,2200,6.19929,52345
quick3way,random,2200,0.991,27667
msd_radix,random,2200,4.96621,0
msd_radix_qs,random,2200,2.19833,10782
std_sort,reverse,2200,0.424208,9241
stable_sort,reverse,2200,1.48546,21349
merge_lcp,reverse,2200,2.29771,31651
quick3way,reverse,2200,3.52496,103551
msd_radix,reverse,2200,4.2135,0
msd_radix_qs,reverse,2200,1.196,29420
std_sort,almost,2200,0.789166,15899
stable_sort,almost,2200,1.53542,20385
merge_lcp,almost,2200,2.49975,36535
quick3way,almost,2200,2.231,68485
msd_radix,almost,2200,3.86771,0
msd_radix_qs,almost,2200,0.796208,14207
std_sort,random,2300,2.32725,42125
stable_sort,random,2300,2.46533,32384
merge_lcp,random,2300,5.96321,54977
quick3way,random,2300,0.959584,26259
msd_radix,random,2300,4.54087,0
msd_radix_qs,random,2300,0.696333,11486
std_sort,reverse,2300,0.426417,9668
stable_sort,reverse,2300,1.57246,22813
merge_lcp,reverse,2300,2.41775,33665
quick3way,reverse,2300,3.7565,108739
msd_radix,reverse,2300,4.49996,0
msd_radix_qs,reverse,2300,1.30004,32013
std_sort,almost,2300,0.629708,13217
stable_sort,almost,2300,3.73462,20979
merge_lcp,almost,2300,2.91229,37130
quick3way,almost,2300,2.85087,87813
msd_radix,almost,2300,4.45925,0
msd_radix_qs,almost,2300,0.782417,15183
std_sort,random,2400,3.73212,47275
stable_sort,random,2400,2.60317,34233
merge_lcp,random,2400,3.78762,57991
quick3way,random,2400,1.02308,28292
msd_radix,random,2400,4.78442,0
msd_radix_qs,random,2400,0.784667,12138
std_sort,reverse,2400,0.462,10153
stable_sort,reverse,2400,1.66092,24262
merge_lcp,reverse,2400,2.54554,35684
quick3way,reverse,2400,3.96037,115251
msd_radix,reverse,2400,7.60642,0
msd_radix_qs,reverse,2400,4.48337,34194
std_sort,almost,2400,0.820583,17904
stable_sort,almost,2400,1.59671,22285
merge_lcp,almost,2400,2.92883,39667
quick3way,almost,2400,2.99558,90216
msd_radix,almost,2400,4.87625,0
